iter	Passed	Remaining
0	1	120
1	2	124
2	3	123
3	4	114
4	6	114
5	7	116
6	8	114
7	9	112
8	10	110
9	12	108
10	13	107
11	14	105
12	15	103
13	16	101
14	17	100
15	18	99
16	20	98
17	21	97
18	22	95
19	23	94
20	24	92
21	25	91
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	83
28	33	82
29	34	81
30	35	79
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	44	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	89	26
77	90	25
78	91	24
79	92	23
80	94	22
81	95	21
82	97	19
83	98	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	111	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	119	0
