iter	Passed	Remaining
0	153	153049
1	154	77277
2	156	51957
3	158	39416
4	159	31766
5	160	26631
6	161	22961
7	163	20247
8	164	18143
9	166	16455
10	167	15061
11	169	13925
12	170	12945
13	171	12092
14	172	11358
15	174	10728
16	176	10191
17	177	9710
18	179	9271
19	181	8882
20	182	8531
21	184	8206
22	186	7911
23	187	7630
24	189	7375
25	190	7154
26	192	6929
27	194	6739
28	195	6556
29	197	6382
30	198	6219
31	200	6073
32	202	5933
33	204	5802
34	205	5665
35	206	5538
36	208	5426
37	210	5325
38	212	5227
39	214	5145
40	216	5061
41	218	4980
42	220	4905
43	221	4821
44	223	4733
45	224	4648
46	225	4571
47	226	4496
48	228	4436
49	230	4376
50	233	4343
51	234	4279
52	236	4217
53	237	4160
54	238	4101
55	239	4043
56	241	3998
57	243	3954
58	245	3910
59	246	3863
60	248	3818
61	249	3774
62	250	3732
63	252	3693
64	254	3656
65	256	3631
66	258	3596
67	260	3566
68	262	3537
69	263	3505
70	265	3479
71	267	3449
72	269	3419
73	272	3407
74	273	3378
75	275	3347
76	276	3316
77	278	3289
78	279	3261
79	281	3233
80	282	3206
81	285	3195
82	286	3166
83	288	3142
84	292	3144
85	293	3122
86	295	3099
87	296	3077
88	298	3059
89	300	3040
90	302	3020
91	304	3001
92	306	2984
93	307	2966
94	309	2948
95	311	2930
96	312	2913
97	314	2897
98	316	2880
99	318	2863
100	319	2847
101	321	2831
102	323	2817
103	325	2801
104	326	2783
105	328	2769
106	330	2755
107	331	2740
108	333	2724
109	334	2709
110	336	2695
111	338	2684
112	340	2670
113	342	2661
114	344	2649
115	346	2637
116	347	2621
117	348	2607
118	350	2594
119	352	2581
120	353	2568
121	355	2555
122	357	2546
123	359	2538
124	361	2529
125	364	2528
126	366	2521
127	369	2514
128	372	2515
129	375	2514
130	378	2513
131	381	2507
132	384	2503
133	386	2497
134	389	2498
135	393	2497
136	395	2491
137	399	2494
138	403	2498
139	406	2496
140	409	2494
141	410	2482
142	417	2500
143	419	2492
144	421	2484
145	424	2484
146	428	2484
147	430	2479
148	433	2476
149	438	2482
150	440	2475
151	444	2482
152	447	2475
153	449	2467
154	451	2463
155	454	2456
156	456	2450
157	458	2441
158	460	2433
159	462	2427
160	465	2427
161	467	2416
162	469	2409
163	472	2406
164	475	2404
165	478	2405
166	480	2396
167	481	2386
168	483	2376
169	485	2372
170	488	2367
171	490	2359
172	492	2354
173	494	2345
174	495	2337
175	497	2328
176	499	2322
177	501	2313
178	502	2306
179	504	2298
180	506	2290
181	508	2283
182	509	2276
183	511	2268
184	512	2259
185	514	2253
186	519	2256
187	520	2249
188	522	2243
189	524	2236
190	526	2229
191	527	2221
192	530	2216
193	531	2209
194	534	2205
195	536	2199
196	537	2192
197	539	2187
198	541	2179
199	544	2176
200	545	2170
201	547	2164
202	549	2157
203	550	2149
204	552	2142
205	554	2135
206	559	2143
207	562	2140
208	564	2135
209	565	2128
210	567	2122
211	569	2115
212	570	2108
213	574	2110
214	579	2117
215	582	2115
216	585	2111
217	587	2107
218	589	2101
219	591	2096
220	592	2089
221	594	2083
222	596	2077
223	597	2070
224	599	2063
225	601	2059
226	603	2054
227	604	2047
228	606	2041
229	607	2035
230	609	2028
231	610	2022
232	612	2015
233	613	2009
234	616	2007
235	618	2002
236	620	1996
237	621	1990
238	623	1985
239	625	1982
240	627	1977
241	629	1972
242	632	1968
243	634	1965
244	635	1959
245	637	1954
246	639	1950
247	641	1944
248	643	1939
249	645	1935
250	647	1931
251	648	1926
252	650	1921
253	652	1915
254	654	1911
255	655	1906
256	658	1905
257	661	1901
258	663	1897
259	665	1892
260	666	1887
261	668	1882
262	670	1877
263	672	1874
264	674	1870
265	677	1868
266	678	1863
267	680	1858
268	682	1853
269	683	1848
270	685	1843
271	687	1840
272	689	1836
273	691	1831
274	693	1827
275	694	1822
276	696	1818
277	698	1813
278	700	1810
279	702	1806
280	704	1802
281	706	1798
282	707	1793
283	709	1788
284	712	1787
285	715	1786
286	719	1786
287	721	1782
288	723	1778
289	724	1774
290	726	1770
291	728	1766
292	731	1765
293	733	1760
294	735	1756
295	736	1752
296	738	1748
297	740	1743
298	741	1739
299	744	1736
300	746	1733
301	748	1729
302	749	1724
303	751	1720
304	753	1716
305	755	1713
306	757	1708
307	760	1707
308	761	1703
309	763	1699
310	765	1695
311	766	1690
312	768	1686
313	769	1681
314	772	1679
315	775	1678
316	777	1674
317	779	1671
318	781	1667
319	783	1664
320	785	1660
321	793	1671
322	799	1674
323	803	1675
324	805	1672
325	806	1667
326	808	1664
327	810	1660
